"","MM13","MM14","MM15","MM16","MM17","MM18","MM19","MM20","MM21"
"nbis-gene-871",30260.5459416217,28897.6257287649,28571.5949294923,37289.0552102527,35437.7043246966,36307.6809190271,24004.0106293581,29033.5034410289,32398.1616171979
"nbis-gene-872",59603.2306557173,57191.3495254061,56652.4243175478,48987.489630848,46851.7649029793,52674.7384706411,26727.0639633831,29914.3331836972,30238.8760313969
"nbis-gene-873",68409.098523994,82122.0201651574,79199.2264817696,28166.5457607557,31402.6808316372,27751.661731112,22840.2349139818,28794.4748570142,29750.5953712912
"nbis-gene-874",5201.79694722822,4901.43661188854,4389.76861932579,6816.07555827492,6627.6581446243,6563.39816836699,6308.70995708379,5659.51930812743,6258.87027953722
"nbis-gene-875",4235.81144180518,4230.55450124653,3781.4776455975,3508.89993768766,3674.96529196881,3467.26867280326,2086.61348967859,2323.47076351291,2589.36713692438
"nbis-gene-876",5043.42432360361,5516.14179861205,4551.20465269317,4631.77943717225,4895.28230883847,3621.30944782257,2313.91343408802,3141.24965921672,3482.08228317831
"nbis-gene-877",53470.4476779002,51648.1995902947,49602.1898683276,36101.5608904469,35361.1650065007,35333.8909903962,22342.4480357251,24027.0779805636,24114.1596301918
"nbis-gene-878",2921.58116178218,2610.06631129,2584.26802214501,2196.11590530777,2051.46933136305,2031.3564191144,1080.81123566685,1349.4763365239,1540.796749667
"nbis-gene-879",3695.06955561729,3739.00641695972,3483.14385593459,2958.88597934362,2670.251988327,3114.14596047827,1492.22413504792,1854.82416965733,1616.75151901678
"nbis-gene-880",19380.0842025497,19961.1735238846,18787.2798191622,15829.842993085,15352.0624003895,15858.993241024,7516.80916161992,8118.50233974316,9060.31891529541
"nbis-gene-881",5368.04445269052,5365.97655967608,5310.59975365332,4831.13979743162,4456.52875241979,4625.72736680819,2151.39397383528,2633.07865383115,2986.89664404077
"nbis-gene-882",24337.7598128096,24030.7595315955,23227.4164808986,22799.5757460262,20719.516841197,23532.2056481266,15218.8677779335,15186.7846016895,15202.790976868
"nbis-gene-883",30244.7961779463,31298.1089008205,29352.9453309905,32692.7351256957,31989.122931617,32028.7705018238,37318.1048731406,33288.0240250069,31452.1794898415
"nbis-gene-884",16630.8754543258,16873.6033592874,15519.8145038064,20332.3927896148,18870.7150002681,21358.5191561874,18730.6519190593,18832.4410366222,17666.8820656441
"nbis-gene-885",5120.42316823878,5499.93691671249,5465.57834568601,2991.9813751179,2911.7281471422,2979.02247361922,2013.87750746757,2083.50112208083,2347.69287081144
"nbis-gene-886",10543.5917937931,10175.5855074671,11319.8946597207,6392.9272837323,5947.42842939041,6821.03361664491,5687.04460912399,6050.9991937578,6239.14176801779
"nbis-gene-887",17070.1188634946,17482.9069187111,16568.5029765609,9168.21261509002,9222.44883332155,7669.60911411975,7350.88020220104,7204.73558746652,7710.88872736681
"nbis-gene-888",15737.5138591837,15791.1172483965,15060.0446807761,8047.69707244645,7698.1305808006,7911.02974397459,4913.08829840988,5074.18159451665,5592.04659018069
"nbis-gene-889",41239.0062102293,43823.4022837246,42074.10476034,31865.3502313387,31538.5111709708,30081.190644562,27723.7742196185,27086.4556444682,28107.2103617232
"nbis-gene-890",70910.6859877661,77587.894209659,74799.1259563083,48103.3697723065,45316.6664647969,53535.0246703104,39503.5938386373,41284.1889004906,43217.2773344499
"nbis-gene-891",17544.3617474976,17138.2830969803,17126.4259078786,23565.4977625167,23483.5564447781,24117.7407578492,19513.7002275498,22018.8614518732,23128.7204797966
"nbis-gene-892",26123.608016223,24344.0539149871,23812.460665822,37095.9987349027,36697.9080285134,38611.085958351,25565.5612474509,29676.2456570999,31789.5370368236
"nbis-gene-893",7073.39386398536,6644.0015788218,6210.76707570983,10946.6961451509,10318.7937150852,11476.4881505621,6223.47247793026,8115.67916749102,8282.02913585413
"nbis-gene-894",10369.4694064931,9586.80813178287,8757.58193811362,16411.3763759759,16666.1670325133,16254.4546458981,11983.2530692653,14522.3980650187,14809.2071720555
"nbis-gene-895",38293.8004029341,37267.9873926204,38038.2039261555,28175.2136025061,25226.7124662253,29855.9848331302,17564.6032042389,20276.9641723016,19519.389297318
"nbis-gene-896",46146.8075688505,44419.7419376286,43873.1479161861,38741.3126962528,35472.200918813,41082.0441213802,20451.3124982387,24603.0051200006,26323.7529203672
"nbis-gene-897",334.244984666305,323.017312531336,304.791230997613,271.06705110365,237.164084550642,233.313220643295,175.020957195263,168.449277711142,192.352987314383
"nbis-gene-898",195.997059071341,167.450446295509,222.135981913515,188.328561667943,246.866251645895,136.024310104778,238.664941629904,201.386287319466,215.04077556172
"nbis-gene-899",100.623490148233,87.506362257653,113.650967490635,115.045899596317,117.504023709182,92.7847943098819,196.614451914159,178.80090930233,154.868815427477
"nbis-gene-900",14138.912846133,12573.9080286028,11956.5983753216,16022.1114828213,15895.3837577237,15359.9371628912,26471.3515259225,24262.3423349088,23264.8472092806
"nbis-gene-901",18950.4656489603,17540.1641680896,16417.398849329,22712.8973285221,21793.2233330717,23616.883033225,31170.7778765875,32075.9420714206,31718.5143953537
"nbis-gene-902",2908.45635871936,3097.29309373693,2926.51241288386,1583.06309786986,1610.55973781209,1635.89501424025,1486.54163643769,1227.13887226441,1169.90073310183
"nbis-gene-903",2481.46276574251,2184.41808006141,2316.92995088863,1259.98899626377,1253.73559241998,1273.76406945799,1135.36322232511,1191.37869040395,1064.35319647292
"nbis-gene-904",4020.56467157505,3726.04251144006,3877.04777735099,6268.42555677191,6386.1819858091,6932.73569911506,6580.33339065306,7133.21522374558,7424.82531033517
"nbis-gene-905",19199.8369071537,26635.4242155856,24223.1539347086,5070.68742398834,4954.57332997613,5150.00649582131,6190.51398599089,6238.26961981655,5864.30004914874
"nbis-gene-906",9064.86398204952,9576.00487718316,9378.78779451129,3352.87878618032,2816.86251332194,3278.99661444631,1225.14670036684,1589.44597795598,2046.83307014022
"nbis-gene-907",3730.06903045146,3780.05878443861,3364.32693537619,1325.39180219866,1259.12568525068,1321.50770148152,483.012381870043,638.036928984104,806.896121144436
"nbis-gene-908",11316.2052007574,13740.6595253715,11802.9112715559,3939.14008275333,4220.44268643528,4112.25811674379,2350.28142519353,3076.31669741746,3334.11844678263
"nbis-gene-909",28955.0655303072,28127.3536758056,28609.0480892336,27124.8287794795,24639.1923476794,29827.158489267,19896.7006338797,22812.1728547252,25254.4675960145
"nbis-gene-910",296.620549219574,329.499265291162,222.135981913515,202.512302714064,246.866251645895,125.214431156054,128.424468591329,149.628129363529,180.515880402728
"nbis-gene-911",9025.48957286108,8848.94584262266,8470.87154285315,6486.69757175944,6002.40737626352,6267.92814376853,3744.7665841454,3904.44722471246,3941.75660158089
"nbis-gene-912",22254.4160733057,21531.9667426825,21088.7119108475,18199.3157334009,17146.9633130114,18418.2320821344,8285.08297372381,10688.5301466098,11560.9077503824
"nbis-gene-913",3252.32619896506,2932.00329836136,2890.35074140957,3202.3735339687,2751.10338078744,3133.06324863854,1394.48515895187,1788.0090930233,2113.91000930627
"nbis-gene-914",32264.2658758778,41728.6512168408,31303.0926140684,20441.9227899154,21747.9465532939,17104.8317898644,23288.0158044684,21124.8569053616,21073.9960050486
"nbis-gene-915",23067.2788763293,22793.7868799286,22745.6913573303,23146.2894160425,24055.9843033981,25465.3723334568,17279.341774005,22399.9897059124,23146.476140164
"nbis-gene-916",21633.1753949993,20690.3932093651,19319.3729851411,22960.3248112156,21626.1304553201,23577.246810413,13585.7176773518,17495.1984465243,19398.0589514735
"nbis-gene-917",24514.5071607221,23059.5469430815,22638.4978311744,27600.7720901382,26238.9718998301,28592.1298193753,14979.0663365816,20059.5799088867,22608.8742012597
"nbis-gene-918",9708.85431899821,9376.14466708852,8744.66705544422,11949.0138457435,11985.4104183365,10666.6480526535,6641.70437564361,8924.98854643841,10178.9255184467
"nbis-gene-919",4277.81081160619,4066.34503133094,4043.64976378613,7400.76088362058,7689.50643227149,7109.29705527755,7092.89476529633,7353.42265941266,7572.78914673085
"nbis-gene-920",32839.132250029,36146.6095651705,40173.0340314057,24472.4692038548,25156.6412594263,25525.7274909205,16586.0769435563,21330.948479768,23743.2636136266
"nbis-gene-921",5946.41077432515,5923.42449702113,6887.50692758589,5129.78634501384,4968.58757133594,5331.97279145816,3597.02162027927,4892.55751296218,5928.41771158687
"nbis-gene-922",30921.1610291166,41910.1458941159,31867.4729867208,22006.8622186708,24663.9867747006,20084.7550867294,23249.3748139188,22298.3555048353,21429.1092123982
"nbis-gene-923",3285.57570005752,3790.86203903832,3623.91607703094,2867.47964815751,2954.84888978777,2707.87467665539,2382.10341741085,2343.2329692779,2455.2132585923
"nbis-gene-924",2703.70943093948,2934.1639492813,2700.50196616953,2337.16533015531,2349.00245561749,2521.4042647899,1829.76455249593,1989.39538034277,1889.00497798483
"nbis-gene-925",3986.44018361174,3756.29162431925,3568.38208155256,3829.61008245273,3603.81606660362,3609.59874562812,2609.40336182028,2515.44647665857,2965.19528136941
"nbis-gene-926",21321.6800689752,22213.6521079242,22021.1664395775,11369.8444196935,10988.2432446577,12074.6347857248,6687.1643645255,8627.61440254611,9108.65376851799
"nbis-gene-927",6855.52213314266,6913.00261835459,6661.49648087156,3803.60655720151,3654.48293921216,3883.44901232913,1791.12356194633,2147.49302646272,2431.53904476899
"nbis-gene-928",10841.9623167544,11344.4976551557,11130.0458844806,7004.40411994286,6609.33182899993,7395.75884741874,3885.69254967924,4661.99844570391,5145.19580426574
