Geneid,MM13,MM14,MM15,MM16,MM17,MM18,MM19,MM20,MM21
nbis-gene-597,311,255,203,370,223,294,128,192,208
nbis-gene-598,63,51,53,90,67,40,36,44,24
nbis-gene-599,15,12,3,10,10,4,6,7,10
nbis-gene-600,24,14,15,23,23,15,15,15,12
nbis-gene-601,33,19,18,42,10,24,9,36,30
nbis-gene-602,35,31,17,55,19,33,21,24,53
nbis-gene-603,1713,1318,1097,2478,1809,2885,2326,3414,2884
nbis-gene-604,10891,7718,6077,17042,11974,14461,14145,18427,17214
nbis-gene-605,19038,14670,12115,27856,20498,23872,25381,29602,26413
nbis-gene-606,25002,19151,16139,35789,25142,31317,39738,43089,38378
nbis-gene-607,9838,8830,6701,10894,8539,8927,5862,7550,7252
nbis-gene-608,4392,3600,2909,4442,3117,3746,3159,3331,3328
nbis-gene-609,509,358,286,687,663,476,501,497,480
nbis-gene-610,3473,2668,2219,6488,5367,5404,4618,5863,5303
nbis-gene-611,7798,6347,5698,9308,6352,8322,5791,7696,7947
nbis-gene-612,18275,17997,13255,11028,9206,8892,5683,7450,8057
nbis-gene-613,13145,10219,7795,11810,7842,10959,3533,5738,5880
nbis-gene-614,32970,27308,22656,27479,18693,25273,9894,14160,14179
nbis-gene-615,9570,7267,6147,7856,6007,6519,4338,5631,5489
nbis-gene-616,8372,7582,6020,7285,5372,7762,4265,6128,5462
nbis-gene-617,22056,17163,14580,16976,11918,15471,7564,11138,11616
nbis-gene-618,1212,955,684,773,539,615,365,496,542
nbis-gene-619,17115,13300,11742,12160,8045,10623,4842,7636,7909
nbis-gene-620,3136,2401,1855,3194,2370,2213,2401,2663,2777
nbis-gene-621,17831,13285,11003,20868,15485,18017,15062,18983,19157
nbis-gene-622,15974,12082,9709,19426,14152,18254,13562,17080,16307
nbis-gene-623,11354,8926,7057,14350,10618,12704,9430,11204,10826
nbis-gene-624,11226,9159,7063,14710,11256,12966,10464,12801,12183
nbis-gene-625,12032,9554,8286,15396,12497,14212,12658,15614,15064
nbis-gene-626,10114,7954,6725,13269,10222,12409,12483,15598,14781
nbis-gene-627,2827,2591,2515,3732,2734,3418,2723,3333,3275
nbis-gene-628,4356,3785,3435,5131,4188,4399,3822,4995,5057
nbis-gene-629,159,92,68,132,136,114,84,104,108
nbis-gene-630,3341,2689,2231,6111,4245,5655,3986,4741,4803
nbis-gene-631,41456,34169,27425,41126,30331,37840,24347,30103,31199
nbis-gene-632,1164,892,788,1067,713,800,344,620,725
nbis-gene-633,5635,4787,3910,7559,5272,7770,10769,11651,10481
nbis-gene-634,3886,2483,2171,3969,3518,3231,14672,19550,19295
nbis-gene-635,5581,3831,3109,9980,8584,8282,37796,43217,40646
nbis-gene-636,6318,5244,4455,8046,5472,7369,4779,5987,5751
nbis-gene-637,28875,23279,19635,52835,37543,52553,43978,50802,49363
nbis-gene-638,2487,2218,2047,1656,1205,1539,807,1088,1109
nbis-gene-639,3591,3297,2946,4318,3149,4613,3858,4593,4720
nbis-gene-640,979,756,683,1530,1094,1462,788,928,939
nbis-gene-641,390,254,306,746,403,620,244,383,388
nbis-gene-642,6275,5279,4089,8365,6084,7538,7083,8718,8627
nbis-gene-643,1106,965,881,1403,1084,1345,688,916,1032
nbis-gene-644,13502,12237,10049,12702,10382,11455,6213,8037,8397
nbis-gene-645,11322,9324,8386,11149,8279,10027,5837,8034,8376
nbis-gene-646,1183,1080,826,1787,1262,1654,1063,1355,1325
nbis-gene-647,4269,3378,2910,4244,3364,3640,1860,2742,2832
nbis-gene-648,5462,4052,3678,5403,3540,4743,2492,3527,3531
nbis-gene-649,3747,2811,2315,3427,2326,2726,1425,1832,2044
nbis-gene-650,9436,8336,6435,12706,10024,11194,9114,12150,12572
nbis-gene-651,9862,7530,5957,13599,10286,13113,9230,11959,12419
nbis-gene-652,880,559,537,485,374,454,422,403,386
nbis-gene-653,1187,884,758,742,651,629,721,583,590
nbis-gene-654,729,579,496,617,430,603,349,439,488
nbis-gene-655,453,325,310,370,309,295,156,184,255
nbis-gene-656,333,233,185,272,200,223,162,193,164
nbis-gene-657,638,490,420,574,402,473,280,358,422
nbis-gene-658,2015,1730,1502,3424,2474,2747,3073,3238,3105
nbis-gene-659,1160,1055,756,825,602,778,620,672,670
nbis-gene-660,2746,2049,1832,3035,2226,2207,1437,1978,2039
nbis-gene-661,4885,3673,3242,6499,4437,6570,3156,4115,3761
nbis-gene-662,58075,44782,38209,110876,83266,111321,77967,93845,87531
nbis-gene-663,3106,2838,1803,4644,3159,4177,1608,2416,2209
nbis-gene-664,2806,2507,1997,1711,1221,1489,1349,1369,1350
nbis-gene-665,6474,5507,4860,4164,2760,3856,2725,3200,3096
nbis-gene-666,35196,31879,30326,62443,52989,59406,65642,78463,71548
nbis-gene-667,26884,21102,17164,26027,18168,22142,9028,12388,13664
nbis-gene-668,18569,14256,11752,16745,11432,13812,6872,9094,9511
nbis-gene-669,499760,466105,394579,625974,523403,683230,508991,653522,577131
nbis-gene-670,2440,1903,1587,2497,2039,1916,922,1359,1642
nbis-gene-671,9577,7416,6966,9495,6457,9376,4198,6353,6734
nbis-gene-672,10173,9054,7645,9624,6728,8314,4177,5897,6343
nbis-gene-673,5088,4728,3824,3973,2744,3441,2057,3428,3749
nbis-gene-674,0,0,2,17,6,2,1,0,4
nbis-gene-675,2962,2239,1820,3028,2047,2713,1612,1853,1909
nbis-gene-676,2551,2041,1534,2454,1657,2144,1520,1660,1607
nbis-gene-677,8782,7100,6059,8912,6184,8746,5826,7160,6309
nbis-gene-678,7568,6234,5182,7376,5410,6961,5007,6260,6018
nbis-gene-679,2355,1810,1529,2137,1575,1724,1364,1655,1551
nbis-gene-680,3595,2632,2356,3483,2310,2904,2172,2931,2646
nbis-gene-681,56997,54718,42186,73095,58792,65368,94147,105223,88997
nbis-gene-682,1282,938,756,2048,1502,1680,863,1236,1299
nbis-gene-683,4831,3566,2922,6954,4982,5871,2999,3843,3855
nbis-gene-684,4494,3633,3011,6356,4829,5629,3112,4026,3919
nbis-gene-685,5441,4099,3567,6701,4653,5850,3115,4171,3963
nbis-gene-686,16443,13573,11181,18109,12623,16292,9685,12299,11828
nbis-gene-687,21517,18268,14612,18904,13722,17716,11854,14702,14534
nbis-gene-688,3415,2426,1887,6053,3639,4864,4356,4774,4900
nbis-gene-689,2249,2154,1634,4232,2909,3514,3297,3480,3652
nbis-gene-690,1676,1419,1174,3031,2293,2622,2270,2658,2602
nbis-gene-691,58740,51338,39164,53205,38878,47543,42119,48580,42841
nbis-gene-692,10638,9059,6449,8407,5927,7143,6491,7736,6954
nbis-gene-693,4437,3651,2904,7655,5838,6642,5528,7514,7568
nbis-gene-694,6077,4943,4126,12928,8992,10289,9144,11959,12236
nbis-gene-695,28310,22241,21583,34693,25067,34539,21129,31843,32610
nbis-gene-696,157866,133230,110057,138821,108393,125384,125649,154351,135437
nbis-gene-697,7740,6038,4831,6593,4342,5519,1303,2056,2462
nbis-gene-698,2758,2551,1612,2232,1368,1598,572,914,1090
nbis-gene-699,1390,1239,981,520,421,489,200,254,274
nbis-gene-700,27456,20920,19072,27831,20415,26230,23302,27236,26358
nbis-gene-701,8407,7167,6191,7966,5619,7245,7810,8159,7466
nbis-gene-702,32,39,27,64,42,65,28,42,25
nbis-gene-703,56,59,38,100,65,117,57,56,97
nbis-gene-704,224,162,129,239,173,236,189,214,205
nbis-gene-705,266,227,176,334,230,333,180,294,241
nbis-gene-706,3030,2269,2004,4418,3132,4165,2062,3319,2969
nbis-gene-707,752,724,554,753,548,556,413,509,488
nbis-gene-708,510,539,411,301,239,277,164,279,266
nbis-gene-709,1016,954,809,616,444,517,385,507,427
nbis-gene-710,3170,2469,1988,3051,1970,2751,1777,2325,2479
nbis-gene-711,11328,9157,7556,9309,6549,8617,5679,6523,6864
nbis-gene-712,4428,4189,3378,3295,2430,2711,2028,2358,2421
nbis-gene-713,8712,6873,5931,7342,5587,6999,5210,6309,6034
nbis-gene-714,6437,4942,3994,6181,4470,6154,4375,5499,5336
nbis-gene-715,10421,8064,6941,10466,7721,9663,6995,8444,8419
nbis-gene-716,14136,11137,8957,27531,18894,26062,55014,56990,49715
nbis-gene-717,6377,5068,3870,12785,9222,11636,25270,25191,21594
nbis-gene-718,6212,5548,4056,12449,9902,11445,22139,22354,18914
nbis-gene-719,1480,1258,1008,2917,2363,2516,5052,4986,4288
nbis-gene-720,10673,9163,8668,10683,8234,9938,10726,12755,11822
nbis-gene-721,427,325,314,417,291,292,319,403,347
nbis-gene-722,955,830,675,1274,911,1076,669,854,829
nbis-gene-723,7155,5758,4662,7712,5402,7053,4001,5198,5178
nbis-gene-724,2725,2261,1595,2656,1922,2163,1298,1487,1526
nbis-gene-725,237,224,160,262,216,205,227,251,258
nbis-gene-726,1932,1653,1436,2887,2443,2675,2438,2806,2948
nbis-gene-727,4114,3435,3048,6224,4923,5863,5346,6156,6170
nbis-gene-728,4426,3176,2695,5970,4457,6173,4776,7210,7480
nbis-gene-729,20623,15355,13252,29382,22948,26040,25636,32429,31817
nbis-gene-730,16540,12287,11090,25216,20113,24222,28407,33423,31121
nbis-gene-731,10058,8462,7603,14527,10910,12991,12339,14685,13574
nbis-gene-732,2112,1920,1475,3347,2608,2681,2306,2604,2819
nbis-gene-733,3038,2258,1998,4470,2952,4394,1865,2523,2631
